date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-02,7.04,7.08,7.0,6.99,238034.16,-0.05,-0.71,7.044,7.079,7.013,258830.7,321743.22,413853.47,0.35
2017-03-01,7.04,7.05,7.05,7.01,197836.67,0.02,0.28,7.068,7.091,7.007,286045.89,342878.11,411807.44,0.29
2017-02-28,7.01,7.06,7.03,7.01,234846.3,0.01,0.14,7.084,7.091,6.999,317228.73,424905.07,410244.79,0.35
2017-02-27,7.11,7.12,7.02,7.01,391644.53,-0.1,-1.4,7.104,7.086,6.992,357451.84,439136.45,414424.27,0.58
2017-02-24,7.12,7.15,7.12,7.09,231791.84,0.0,0.0,7.124,7.081,6.985,366053.23,456192.62,407491.38,0.34
2017-02-23,7.12,7.14,7.12,7.09,374110.09,-0.01,-0.14,7.114,7.062,6.973,384655.74,486929.7,415857.87,0.55
2017-02-22,7.13,7.16,7.13,7.1,353750.88,0.0,0.0,7.114,7.04,6.959,399710.33,521041.77,410403.42,0.52
2017-02-21,7.12,7.16,7.13,7.12,435961.84,0.01,0.14,7.098,7.023,6.946,532581.42,548511.55,414761.23,0.64
2017-02-20,7.05,7.12,7.12,7.05,434651.5,0.05,0.71,7.068,6.999,6.931,520821.06,538710.6,414755.22,0.64
2017-02-17,7.12,7.14,7.07,7.04,324804.41,-0.05,-0.7,7.038,6.973,6.918,546332.01,518262.37,450391.64,0.48
